Price,Location,Room,Bath Room,Area
13 Crore,"D-12, Islamabad",5,6,10 Marla
8.5 Crore,"Naval Anchorage - Block L, Naval Anchorage",6,6,1 Kanal
4.25 Crore,"Bahria Enclave - Sector G, Bahria Enclave",5,6,9 Marla
9.5 Crore,"E-11, Islamabad",5,5,10 Marla
4.4 Crore,"D-12/4, D-12",4,5,4 Marla
23.5 Crore,"F-6/1, F-6",5,5,1.1 Kanal
45 Crore,"F-6/4, F-6",6,6,2.1 Kanal
4.85 Crore,"Bahria Enclave - Sector J, Bahria Enclave",5,6,10 Marla
3.75 Crore,"G-13/4, G-13",4,6,4.4 Marla
5.25 Crore,"MPCHS - Block D, MPCHS - Multi Gardens",6,6,0 Marla
6.2 Crore,"DHA Phase 1 - Sector F, DHA Defence Phase 1",5,6,12 Marla
10.75 Crore,"G-9, Islamabad",5,5,14 Marla
10 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
13 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
25 Crore,"DHA Defence Phase 2, DHA Defence",7,6,1.5 Kanal
4.3 Crore,"Bahria Enclave - Sector G, Bahria Enclave",5,,8 Marla
3.2 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5,6,8 Marla
3.65 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5,6,8 Marla
40 Crore,"Bahria Enclave - Sector C, Bahria Enclave",6,6,2 Kanal
4.1 Crore,"Bahria Enclave - Sector F1, Bahria Enclave",5,6,10 Marla
5.2 Crore,"D-12/1, D-12",3,4,4.4 Marla
9.75 Crore,"D-12/1, D-12",7,7,8 Marla
3.75 Crore,"PWD Housing Scheme, Islamabad",6,7,5 Marla
12.4 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
2.8 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",,,5 Marla
2.5 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",3,4,5 Marla
3.1 Crore,"Bani Gala, Islamabad",4,5,1 Kanal
3.9 Crore,"I-11/2, I-11",5,6,6 Marla
3.15 Crore,"I-11/2, I-11",5,5,4 Marla
